sentence,topic
"Il pugile ha vinto l'incontro per knockout.","Sport"
"La trama del film era tratta da un famoso romanzo.","Libri"
"Le giornate si stanno allungando.","Meteo"
"Il turismo sta contribuendo significativamente all'economia locale.","Economia"
"Un semplice panino con prosciutto e formaggio può essere molto gustoso.","Cucina"
"L'atleta ha stabilito un nuovo record nazionale nel salto in lungo.","Sport"
"Il libro mi ha trasportato in un mondo completamente diverso.","Libri"
"La pioggia leggera continua a cadere.","Meteo"
"Il deficit pubblico è una preoccupazione per il governo.","Economia"
"La pasticceria locale offre torte squisite.","Cucina"
"Il golfista ha realizzato una buca in uno.","Sport"
"Il libro era pieno di descrizioni evocative dei paesaggi.","Libri"
"Oggi il sole è particolarmente caldo.","Meteo"
"Il commercio internazionale è in aumento.","Economia"
"Preparare una zuppa calda è perfetto per le serate fredde.","Cucina"
"Il cavallo ha vinto la corsa con un distacco notevole.","Sport"
"Ho apprezzato molto i dialoghi vivaci e intelligenti del libro.","Libri"
"Il vento sta soffiando forte da nord.","Meteo"
"La disoccupazione giovanile è un problema persistente.","Economia"
"La cucina asiatica offre sapori esotici e interessanti.","Cucina"
"Il giocatore di baseball ha battuto un fuoricampo decisivo.","Sport"
"Il libro mi ha fatto riflettere a lungo sulle mie convinzioni.","Libri"
"Le nuvole si stanno diradando.","Meteo"
"La globalizzazione ha un impatto significativo sulle economie nazionali.","Economia"
"Imparare a cucinare piatti nuovi è un'attività divertente e gratificante.","Cucina"
"Il pattinatore artistico ha eseguito un programma impeccabile.","Sport"
"Il libro aveva una struttura narrativa complessa e originale.","Libri"
"L'aria è fresca e frizzante.","Meteo"
"La digitalizzazione sta trasformando molti settori dell'economia.","Economia"
"Un'insalata fresca e colorata è perfetta per un pranzo leggero.","Cucina"
"Il lottatore ha vinto l'incontro per sottomissione.","Sport"
"Il libro esplorava le dinamiche psicologiche dei personaggi in modo profondo.","Libri"
"Sta iniziando a nevicare.","Meteo"
"La sostenibilità ambientale è una priorità per molte aziende.","Economia"
"Cucinare con ingredienti di stagione è più gustoso e salutare.","Cucina"
"Il tiratore a segno ha ottenuto il punteggio massimo.","Sport"
"Il libro presentava diverse prospettive sullo stesso evento.","Libri"
"Il cielo è al tramonto con colori caldi e intensi.","Meteo"
"L'intelligenza artificiale sta diventando sempre più presente nella nostra vita.","Economia"
"La cucina vegana offre alternative creative e nutrienti.","Cucina"
"Il sollevatore di pesi ha stabilito un nuovo record personale.","Sport"
"Il libro aveva un ritmo narrativo incalzante.","Libri"
"C'è un arcobaleno dopo la pioggia.","Meteo"
"L'e-commerce sta rivoluzionando il modo di fare acquisti.","Economia"
"Preparare una torta di compleanno fatta in casa è un bel gesto.","Cucina"
"Il giocatore di freccette ha fatto centro al bersaglio.","Sport"
"Il libro affrontava temi delicati con grande sensibilità.","Libri"
"La brina ha ricoperto i prati.","Meteo"
"La blockchain è una tecnologia con un grande potenziale.","Economia"
"La cucina etnica offre un'esperienza culinaria diversa e stimolante.","Cucina"
"Il giocatore di biliardo ha realizzato una serie impressionante di tiri.","Sport"
"Il libro aveva un finale inaspettato che mi ha sorpreso molto.","Libri"
"Le stelle brillano intensamente questa notte.","Meteo"
"Le criptovalute sono un argomento di grande interesse nel mondo finanziario.","Economia"
"Un frullato di frutta fresca è una bevanda sana e rinfrescante.","Cucina"
"Il giocatore di bowling ha fatto uno strike.","Sport"
"Il libro mi ha lasciato un messaggio positivo e incoraggiante.","Libri"
"La luna è piena e luminosa.","Meteo"
"L'automazione sta cambiando il panorama industriale.","Economia"
"La cucina molecolare è un approccio innovativo alla gastronomia.","Cucina"
"Il giocatore di rugby ha segnato una meta spettacolare.","Sport"
"Il libro esplorava il tema della perdita e del superamento del dolore.","Libri"
"C'è un'eclissi solare in corso.","Meteo"
"La sharing economy sta creando nuove opportunità di business.","Economia"
"Imparare a fare la pasta fresca è un'arte antica.","Cucina"
"Il giocatore di squash ha vinto la partita al tie-break.","Sport"
"Il libro aveva uno stile ironico e divertente.","Libri"
"Le aurore boreali illuminano il cielo notturno.","Meteo"
"La transizione verso fonti di energia rinnovabile è fondamentale.","Economia"
"La cucina fusion combina elementi di diverse tradizioni culinarie.","Cucina"
"Il giocatore di pallamano ha parato un rigore decisivo.","Sport"
"Il libro mi ha fatto viaggiare con la fantasia in luoghi lontani.","Libri"
"Un fulmine ha illuminato il cielo durante il temporale.","Meteo"
"L'influenza dei social media sull'economia è sempre più evidente.","Economia"
"La preparazione di conserve fatte in casa è un modo per preservare i sapori dell'estate.","Cucina"
"Il giocatore di cricket ha segnato un secolo di punti.","Sport"
"Il libro aveva una forte componente emotiva.","Libri"
"La rugiada del mattino brilla sull'erba.","Meteo"
"L'innovazione tecnologica sta guidando la crescita economica.","Economia"
"La cucina macrobiotica si basa su principi di equilibrio e armonia.","Cucina"
"Il canoista ha vinto la gara di slalom.","Sport"
"Il libro mi ha fatto vedere il mondo da una prospettiva diversa.","Libri"
"Le foglie cambiano colore in autunno.","Meteo"
"La finanza decentralizzata (DeFi) è un settore in rapida evoluzione.","Economia"
"La cucina peruviana è ricca di sapori unici e speziati.","Cucina"
"Il giocatore di badminton ha vinto l'incontro in due set.","Sport"
"Il libro aveva un protagonista indimenticabile.","Libri"
"La galaverna ha imbiancato gli alberi.","Meteo"
"L'impatto del cambiamento climatico sull'economia è significativo.","Economia"
"La cucina thailandese è famosa per il suo equilibrio di dolce, salato, acido e piccante.","Cucina"
"Il giocatore di hockey su ghiaccio ha segnato un gol in power play.","Sport"
"Il libro aveva una trama intricata e piena di misteri da svelare.","Libri"
"Un arcobaleno doppio è apparso dopo il forte acquazzone.","Meteo"
"L'economia circolare è un modello sostenibile per il futuro.","Economia"
"La cucina giapponese è rinomata per la sua delicatezza e precisione.","Cucina"
"Il giocatore di lacrosse ha segnato un goal con un tiro potente.","Sport"
"Il libro mi ha fatto ridere di cuore in molti punti.","Libri"
"La grandine ha danneggiato i raccolti.","Meteo"
"La robotica sta trasformando il mondo del lavoro.","Economia"
"La cucina messicana è vivace e piena di sapori intensi.","Cucina"
"Il giocatore di pallanuoto ha segnato un gol dalla distanza.","Sport"
"Il libro aveva un messaggio potente e significativo.","Libri"
"Il cielo è coperto di nubi minacciose.","Meteo"
"La nanotecnologia ha applicazioni in diversi settori industriali.","Economia"
"La cucina indiana è caratterizzata dall'uso di spezie aromatiche.","Cucina"
"Il giocatore di floorball ha segnato un gol all'incrocio dei pali.","Sport"
"Il libro mi ha tenuto con il fiato sospeso fino all'ultima pagina.","Libri"
"La foschia mattutina si sta dissolvendo.","Meteo"
"L'energia nucleare è una fonte di energia controversa.","Economia"
"La cucina vietnamita è leggera e profumata.","Cucina"
"Il giocatore di curling ha lanciato la stone con precisione.","Sport"
"Il libro aveva uno stile narrativo sperimentale e audace.","Libri"
"Le stelle cadenti sono visibili in questo periodo dell'anno.","Meteo"
"L'agricoltura biologica è un modello di produzione sostenibile.","Economia"
"La cucina greca è basata su ingredienti freschi e semplici.","Cucina"
"Il giocatore di softball ha battuto un home run.","Sport"
"Il libro aveva una forte ambientazione storica.","Libri"
"Il sole sta sorgendo all'orizzonte.","Meteo"
"Il crowdfunding è un modo per finanziare progetti innovativi.","Economia"
"La cucina spagnola è ricca di tapas e piatti conviviali.","Cucina"
"Il giocatore di taekwondo ha eseguito un calcio volante spettacolare.","Sport"
"Il libro aveva un intreccio complesso e ben congegnato.","Libri"
"La temperatura è scesa sotto lo zero.","Meteo"
"Il marketing digitale è essenziale per le aziende moderne.","Economia"
"La cucina marocchina è un mix di sapori dolci e salati.","Cucina"
"Il giocatore di judo ha vinto l'incontro per ippon.","Sport"
"Il libro aveva un finale agrodolce che mi ha fatto riflettere.","Libri"
"Il cielo è illuminato dai lampi.","Meteo"
"La logistica e la supply chain sono cruciali per il commercio globale.","Economia"
"La cucina brasiliana offre piatti colorati e saporiti.","Cucina"
"Il giocatore di scherma ha messo a segno una stoccata decisiva.","Sport"
"Il libro aveva un umorismo sottile e intelligente.","Libri"
"La neve sta cadendo copiosa.","Meteo"
"Il settore immobiliare sta vivendo un periodo di crescita.","Economia"
"La cucina coreana è nota per i suoi piatti fermentati e piccanti.","Cucina"
"Il giocatore di bocce ha fatto un "boccino".","Sport"
"Il libro aveva una prosa lirica e poetica.","Libri"
"Le nuvole sono basse e grigie.","Meteo"
"Il settore dei servizi finanziari è in continua evoluzione.","Economia"
"La cucina turca è un connubio di influenze mediorientali e mediterranee.","Cucina"
"Il giocatore di freccette ha fatto un "bullseye".","Sport"
"Il libro aveva una narrazione corale con diversi punti di vista.","Libri"
"C'è un forte odore di salsedine nell'aria.","Meteo"
"L'assicurazione è un elemento importante della pianificazione finanziaria.","Economia"
"La cucina argentina è famosa per la sua carne alla griglia.","Cucina"
"Il giocatore di polo ha segnato un gol con un colpo preciso.","Sport"
"Il libro aveva un ritmo lento e riflessivo.","Libri"
"Il sole è velato da una leggera foschia.","Meteo"
"Il debito pubblico è una sfida per molti paesi.","Economia"
"La cucina cubana è un mix di influenze spagnole, africane e caraibiche.","Cucina"
"Il giocatore di baseball ha fatto un "strikeout".","Sport"
"Il libro aveva un'atmosfera cupa e misteriosa.","Libri"
"Le onde si infrangono sugli scogli.","Meteo"
"La tassazione è uno strumento fondamentale della politica economica.","Economia"
"Il termometro segna 30 gradi centigradi.","Meteo"
"La Banca Centrale ha alzato i tassi di interesse.","Economia"
"Oggi preparerò un risotto alla milanese.","Cucina"
"La nazionale di basket ha vinto la partita di qualificazione.","Sport"
"Ho iniziato un nuovo romanzo di fantascienza.","Libri"
"Le previsioni meteo annunciano neve in montagna.","Meteo"
"Il valore delle azioni tecnologiche è in crescita.","Economia"
"Per cena ho in mente una pizza fatta in casa.","Cucina"
"Il pilota di Formula 1 ha conquistato la pole position.","Sport"
"Sto leggendo una biografia molto interessante.","Libri"
"Il tasso di umidità è molto alto oggi.","Meteo"
"Il governo sta discutendo una nuova legge finanziaria.","Economia"
"Vorrei provare a fare dei biscotti al cioccolato.","Cucina"
"Il ciclista ha forato a pochi chilometri dal traguardo.","Sport"
"La copertina del libro è molto accattivante.","Libri"
"Il cielo è coperto da nubi stratificate.","Meteo"
"L'inflazione è scesa leggermente nell'ultimo mese.","Economia"
"Ho trovato una nuova ricetta per il tiramisù.","Cucina"
"Il tennista ha dovuto ritirarsi per un infortunio.","Sport"
"Il libro è ambientato durante la Seconda Guerra Mondiale.","Libri"
"Oggi c'è una leggera brezza marina.","Meteo"
"Le piccole e medie imprese ricevono nuovi incentivi fiscali.","Economia"
"Per pranzo preparerò un'insalata di quinoa.","Cucina"
"Il calciatore ha sbagliato un rigore importante.","Sport"
"L'autore del libro sarà ospite a un festival letterario.","Libri"
"Domani ci sarà un'allerta meteo per forti piogge.","Meteo"
"Il prodotto interno lordo ha registrato una crescita positiva.","Economia"
"Voglio imparare a fare il sushi.","Cucina"
"Il nuotatore ha vinto la medaglia d'oro alle Olimpiadi.","Sport"
"Il libro tratta di temi filosofici complessi.","Libri"
"La visibilità è ridotta a causa della nebbia.","Meteo"
"Il mercato azionario è volatile in questo periodo.","Economia"
"Ho voglia di cucinare una torta di carote.","Cucina"
"Il giocatore di golf ha fatto un birdie alla buca 18.","Sport"
"Il libro è scritto in prima persona dal protagonista.","Libri"
"Le temperature sono miti per la stagione.","Meteo"
"Il settore turistico sta vivendo una forte ripresa.","Economia"
"Proverò a fare una zuppa di cipolle gratinata.","Cucina"
"Il maratoneta ha stabilito il suo nuovo record personale.","Sport"
"Il libro ha ricevuto recensioni molto positive dalla critica.","Libri"
"Oggi il sole è particolarmente intenso.","Meteo"
"L'economia globale sta affrontando diverse sfide.","Economia"
"Ho trovato una ricetta vegana per i brownies.","Cucina"
"Il velista ha vinto la regata costiera.","Sport"
"Il libro esplora le relazioni familiari in modo profondo.","Libri"
"Il vento sta cambiando direzione.","Meteo"
"Il tasso di cambio tra euro e dollaro è stabile.","Economia"
"Per dessert preparerò una panna cotta.","Cucina"
"Il giocatore di basket ha segnato il canestro della vittoria sulla sirena.","Sport"
"Il libro è stato tradotto in molte lingue.","Libri"
"Il cielo è pieno di cumuli bianchi.","Meteo"
"L'innovazione tecnologica attrae investimenti.","Economia"
"Voglio provare a fare dei ravioli fatti in casa.","Cucina"
"Il ciclista ha vinto la maglia a pois al Tour de France.","Sport"
"Il libro ha un finale aperto che lascia spazio all'interpretazione.","Libri"
"La pressione atmosferica è in aumento.","Meteo"
"Il bilancio statale presenta un avanzo quest'anno.","Economia"
"Ho trovato una ricetta per un curry di verdure aromatico.","Cucina"
"Il pugile si sta allenando duramente per il prossimo incontro.","Sport"
"Il libro è un thriller psicologico molto coinvolgente.","Libri"
"Oggi c'è un'alta probabilità di rovesci temporaleschi.","Meteo"
"Il commercio online è in continua crescita.","Economia"
"Per la festa preparerò una torta di compleanno a più piani.","Cucina"
"Il giocatore di baseball ha battuto un doppio.","Sport"
"Il libro è un classico della letteratura contemporanea.","Libri"
"La temperatura percepita è più alta a causa dell'umidità.","Meteo"
"Il governo ha annunciato misure per il sostegno al reddito.","Economia"
"Voglio imparare a fare il pane con la pasta madre.","Cucina"
"Il giocatore di football americano ha segnato un touchdown.","Sport"
"Il libro è un saggio scientifico molto interessante.","Libri"
"Il cielo è striato di cirri sottili.","Meteo"
"Il mercato immobiliare sta mostrando segni di rallentamento.","Economia"
"Ho voglia di preparare una paella di pesce.","Cucina"
"Il giocatore di hockey su prato ha segnato un gol su azione di corner corto.","Sport"
"Il libro è una raccolta di racconti brevi.","Libri"
"Oggi le condizioni meteo sono stabili.","Meteo"
"La politica fiscale è al centro del dibattito politico.","Economia"
"Per un aperitivo preparerò delle tartine sfiziose.","Cucina"
"Il giocatore di pallavolo ha fatto un ace decisivo.","Sport"
"Il libro è un'autobiografia molto toccante.","Libri"
"Il vento soffia a raffiche.","Meteo"
"Il settore manifatturiero sta registrando una ripresa.","Economia"
"Voglio provare a fare dei cannelloni ripieni.","Cucina"
"Il giocatore di rugby ha trasformato un calcio di punizione difficile.","Sport"
"Il libro è un romanzo storico molto accurato.","Libri"
"Il cielo è di un azzurro intenso.","Meteo"
"La deflazione è un rischio per l'economia.","Economia"
"Ho trovato una ricetta per un plumcake soffice.","Cucina"
"Il giocatore di cricket ha preso una difficile presa al volo.","Sport"
"Il libro è un'opera di fantasia epica.","Libri"
"Oggi c'è un'escursione termica significativa.","Meteo"
"La concorrenza nel mercato globale è sempre più forte.","Economia"
"Per cena preparerò un'orata al forno con patate.","Cucina"
"Il giocatore di golf ha fatto un eagle.","Sport"
"Il libro è un manuale pratico su un determinato argomento.","Libri"
"La visibilità è ottima oggi.","Meteo"
"Il sistema bancario è sotto osservazione.","Economia"
"Voglio imparare a fare la pasta fresca ripiena.","Cucina"
"Il giocatore di pallamano ha parato un tiro dai sette metri.","Sport"
"Il libro è un'inchiesta giornalistica molto dettagliata.","Libri"
"Il sole tramonta tardi in estate.","Meteo"
"La spesa pubblica è un tema politico caldo.","Economia"
"Ho trovato una ricetta per un gazpacho fresco.","Cucina"
"Il giocatore di polo ha segnato un "chucker".","Sport"
"Il libro è una commedia leggera e divertente.","Libri"
"Oggi il tempo è instabile.","Meteo"
"Il risparmio privato è in aumento.","Economia"
"Per un pranzo veloce preparerò un'omelette.","Cucina"
"Il giocatore di softball ha fatto un doppio gioco difensivo.","Sport"
"Il libro è un trattato filosofico molto denso.","Libri"
"La notte è serena e stellata.","Meteo"
"Il credito al consumo è in crescita.","Economia"
"Voglio provare a fare dei muffin ai mirtilli.","Cucina"
"Il giocatore di taekwondo ha eseguito una rovesciata spettacolare.","Sport"
"Il libro è una raccolta di poesie d'amore.","Libri"
"Oggi c'è un'alta marea.","Meteo"
"Il debito delle famiglie è un indicatore economico importante.","Economia"
"Ho trovato una ricetta per un couscous di verdure.","Cucina"
"Il giocatore di judo ha eseguito un "osoto gari" perfetto.","Sport"
"Il libro è un'analisi sociologica approfondita.","Libri"
"Il vento ulula tra le case.","Meteo"
"L'investimento in infrastrutture è considerato cruciale.","Economia"
"Per la merenda preparerò una crostata di frutta.","Cucina"
"Il giocatore di scherma ha vinto l'assalto all'ultima stoccata.","Sport"
"Il libro è un'opera teatrale in cinque atti.","Libri"
"La pioggia cade a dirotto.","Meteo"
"La deregolamentazione è un tema controverso in economia.","Economia"
"Voglio imparare a fare il pane integrale.","Cucina"
"Il giocatore di bocce ha fatto una "pallinata".","Sport"
"Il libro è un'antologia di saggi letterari.","Libri"
"La neve si sta sciogliendo rapidamente.","Meteo"
"La globalizzazione dei mercati finanziari è un dato di fatto.","Economia"
"Ho trovato una ricetta per un'insalata di farro estiva.","Cucina"
"Il giocatore di freccette ha fatto un "ton 80".","Sport"
"Il libro è un romanzo di formazione ambientato negli anni '80.","Libri"
"Oggi c'è una bassa pressione atmosferica.","Meteo"
"La politica agricola comune è un tema europeo importante.","Economia"
"Per un contorno preparerò delle verdure grigliate.","Cucina"
"Il giocatore di curling ha fatto uno "sweep" efficace.","Sport"
"Il libro è un'opera di narrativa sperimentale.","Libri"
"Le nuvole corrono veloci nel cielo.","Meteo"
"Il settore dell'energia rinnovabile è in forte crescita.","Economia"
"Voglio provare a fare dei biscotti di pan di zenzero.","Cucina"
"Il giocatore di floorball ha fatto un "power play goal".","Sport"
"Il libro è un romanzo epistolare.","Libri"
"Oggi c'è una forte escursione termica tra giorno e notte.","Meteo"
"La gestione del debito pubblico è una sfida costante.","Economia"
"Ho trovato una ricetta per un risotto ai funghi porcini e tartufo.","Cucina"
"Il giocatore di lacrosse ha fatto un "behind-the-back goal".","Sport"
"Il libro è un poema epico in versi liberi.","Libri"
"Il sole splende attraverso le nuvole.","Meteo"
"La politica monetaria influenza il costo del denaro.","Economia"
"Per un buffet preparerò delle mini quiche.","Cucina"
"Il giocatore di pallanuoto ha segnato un gol in superiorità numerica.","Sport"
"Il libro è un giallo con un detective astuto.","Libri"
"La brina mattutina si scioglie al sole.","Meteo"
"Il commercio equo e solidale è un modello economico alternativo.","Economia"
"Voglio imparare a fare i noodles asiatici.","Cucina"
"Il giocatore di badminton ha fatto uno "smash" vincente.","Sport"
"Il libro è una saga familiare che copre diverse generazioni.","Libri"
"Oggi il cielo è terso e limpido.","Meteo"
"L'economia sommersa rappresenta una sfida per le statistiche ufficiali.","Economia"
"Ho trovato una ricetta per un clafoutis di ciliegie.","Cucina"
"Il giocatore di baseball ha fatto un "grand slam".","Sport"
"Il libro è un'allegoria con significati nascosti.","Libri"
"La nebbia si dirada lentamente.","Meteo"
"L'innovazione sociale può portare a nuovi modelli economici.","Economia"
"Voglio provare a fare dei falafel con salsa tahini.","Cucina"
"Il giocatore di cricket ha lanciato una "googly".","Sport"
"Il libro è una parodia di un genere letterario specifico.","Libri"
"Oggi c'è un vento tiepido.","Meteo"
"La finanza comportamentale studia l'impatto della psicologia sulle decisioni economiche.","Economia"
"Ho trovato una ricetta per una torta di mele senza glutine.","Cucina"
"Il giocatore di polo ha fatto un "nearside forehand shot".","Sport"
"Il libro è un romanzo distopico ambientato in un futuro cupo.","Libri"
"La luna è circondata da un alone.","Meteo"
"La teoria dei giochi ha applicazioni in economia e politica.","Economia"
"Voglio imparare a fare la focaccia ligure.","Cucina"
"Il giocatore di softball ha fatto un "sacrifice fly".","Sport"
"Il libro è una favola per adulti con una morale complessa.","Libri"
"Oggi il cielo è colorato da un'alba spettacolare.","Meteo"
"L'economia della conoscenza è basata sull'innovazione e la tecnologia.","Economia"
"Ho trovato una ricetta per un hummus cremoso.","Cucina"
"Il giocatore di taekwondo ha eseguito un calcio laterale perfetto.","Sport"
"Il libro è un'opera di teatro dell'assurdo.","Libri"
"La rugiada del mattino è abbondante.","Meteo"
"La macroeconomia studia il funzionamento del sistema economico nel suo complesso.","Economia"
"Voglio provare a fare i mochi giapponesi.","Cucina"
"Il giocatore di judo ha eseguito un "uchi mata" efficace.","Sport"
"Il libro è un romanzo poliziesco con molti sospettati.","Libri"
"Oggi c'è un'inversione termica.","Meteo"
"La microeconomia analizza il comportamento dei singoli agenti economici.","Economia"
"Ho trovato una ricetta per una zuppa di miso giapponese.","Cucina"
"Il giocatore di scherma ha parato un attacco con una "parata di quarta".","Sport"
"Il libro è un'opera di satira politica.","Libri"
"Il cielo è illuminato da un tramonto infuocato.","Meteo"
"L'econometria utilizza metodi statistici per analizzare dati economici.","Economia"
"Voglio imparare a fare i bao cinesi al vapore.","Cucina"
"Il giocatore di bocce ha fatto uno "striscio".","Sport"
"Il libro è un romanzo gotico ambientato in un castello isolato.","Libri"
"Oggi c'è una leggera pioggerellina.","Meteo"
"La storia del pensiero economico è affascinante.","Economia"
"Ho trovato una ricetta per un guacamole saporito.","Cucina"
"Il giocatore di freccette ha fatto un "double top".","Sport"
"Il libro è un romanzo storico ambientato nel Rinascimento.","Libri"
"La temperatura è piacevole e mite.","Meteo"
"L'organizzazione mondiale del commercio (OMC) regola il commercio internazionale.","Economia"
"Voglio provare a fare il kimchi coreano.","Cucina"
"Il giocatore di curling ha fatto un "take-out".","Sport"
"Il libro è un romanzo psicologico che esplora la mente del protagonista.","Libri"
"Oggi c'è un'alta concentrazione di polveri sottili.","Meteo"
"La teoria dell'offerta e della domanda è un concetto fondamentale in economia.","Economia"
"Ho trovato una ricetta per un dahl di lenticchie indiano.","Cucina"
"Il giocatore di polo ha fatto un "neck shot".","Sport"
"Il libro è un romanzo d'avventura ambientato in terre esotiche.","Libri"
"Il cielo è coperto da un velo di nubi alte.","Meteo"
"Il prodotto nazionale lordo (PNL) è un indicatore economico importante.","Economia"
